listing_id,price,bathrooms,bedrooms,cancellation_policy,guests_included,property_type,zipcode,star_rating,reviews_count,city,room_type
23047307,23,1,1,strict_14_with_grace_period,1,Apartment,90029,5,8,Los Angeles,Shared room
23047427,55,1,0,strict_14_with_grace_period,1,Apartment,90037,4.5,21,Los Angeles,Private room
23047924,130,1,0,moderate,2,Apartment,90013,5,8,Los Angeles,Entire home
23048190,104,1,1,moderate,2,Guest suite,90064,5,10,Los Angeles,Entire home
23049543,130,1,1,strict_14_with_grace_period,2,Condominium,90017,5,15,Los Angeles,Entire home
23053995,75,1,1,moderate,2,Guesthouse,33145,5,10,Miami,Entire home
23054369,144,1,0,strict_14_with_grace_period,1,Resort,78701,4.5,7,Austin,Entire home
23054699,50,1,1,flexible,1,House,33177,5,10,Miami,Private room
23055567,134,1,1,flexible,5,Apartment,90025,5,5,Los Angeles,Entire home
23055817,85,1,1,moderate,1,Guesthouse,78702,5,23,Austin,Entire home
23056080,65,1,1,flexible,1,House,33143,5,6,Miami,Private room
23056247,150,1,2,strict_14_with_grace_period,4,Townhouse,33133,5,7,Miami,Entire home
23056463,99,1,1,flexible,1,House,78721,5,3,Austin,Entire home
23056528,119,2,2,strict_14_with_grace_period,4,Apartment,33125,5,8,Miami,Entire home
23056639,90,1,1,flexible,1,Apartment,90020,5,11,Los Angeles,Entire home
23056737,200,2.5,2,flexible,1,House,78723,5,3,Austin,Entire home
23056981,78,1,2,strict_14_with_grace_period,4,Apartment,33133,5,5,Miami,Entire home
23056994,68,1,1,strict_14_with_grace_period,1,Apartment,02119,4.5,8,Boston,Entire home
23057028,140,1,2,strict_14_with_grace_period,5,House,33144,5,11,Miami,Entire home
23057032,150,1,2,moderate,1,House,02130,3.5,3,Boston,Entire home
23057452,55,1,1,strict_14_with_grace_period,2,Bungalow,90291,5,13,Los Angeles,Private room
23057830,40,1,1,strict_14_with_grace_period,1,House,02130,4,5,Boston,Private room
23058097,150,1,1,strict_14_with_grace_period,1,Serviced apartment,78702,4.5,3,Austin,Entire home
23058327,150,1,1,strict_14_with_grace_period,1,Serviced apartment,78702,5,4,Austin,Entire home
23059018,70,1,1,flexible,2,Apartment,91403,4.5,6,Los Angeles,Private room
23059045,80,1.5,1,flexible,1,House,78702,5,17,Austin,Private room
23059177,100,1,0,moderate,1,Apartment,33136,5,7,Miami,Entire home
23059262,65,1,1,strict_14_with_grace_period,1,Apartment,90291,5,14,Los Angeles,Private room
23059367,62,1,2,moderate,3,Guest suite,33144,5,5,Miami,Private room
23059459,149,1,1,strict_14_with_grace_period,1,Apartment,NULL,5,13,Austin,Entire home
23059645,88,1,2,strict_14_with_grace_period,1,House,78704,5,10,Austin,Entire home
23059681,80,1,1,moderate,1,House,90065,5,4,Los Angeles,Entire home
23059982,1000,6,5,strict_14_with_grace_period,10,House,91604,4.5,4,Los Angeles,Entire home
23060238,79,1,0,strict_14_with_grace_period,1,Apartment,33127,5,4,Miami,Entire home
23060280,50,1,1,strict_14_with_grace_period,1,House,33174,5,21,Miami,Private room
23060782,100,1,1,flexible,1,House,33179,5,4,Miami,Private room
